- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 1031.7,  렌더링 객체: 613,  렌더링 fake 객체: 1524
        시간 간격: 975.3,  렌더링 객체: 612,  렌더링 fake 객체: 1522
        시간 간격: 972.7,  렌더링 객체: 613,  렌더링 fake 객체: 1524
        시간 간격: 1142.4,  렌더링 객체: 610,  렌더링 fake 객체: 1500
        시간 간격: 1165.2,  렌더링 객체: 612,  렌더링 fake 객체: 1501
        시간 간격: 1202.0,  렌더링 객체: 613,  렌더링 fake 객체: 1500
        시간 간격: 1604.6,  렌더링 객체: 613,  렌더링 fake 객체: 1500
        시간 간격: 1017.4,  렌더링 객체: 615,  렌더링 fake 객체: 1500
        시간 간격: 1008.6,  렌더링 객체: 616,  렌더링 fake 객체: 1502
        시간 간격: 987.1,  렌더링 객체: 618,  렌더링 fake 객체: 1500
        시간 간격: 1115.8,  렌더링 객체: 618,  렌더링 fake 객체: 1499
        시간 간격: 1123.6,  렌더링 객체: 618,  렌더링 fake 객체: 1499
        시간 간격: 1043.3,  렌더링 객체: 617,  렌더링 fake 객체: 1498
        시간 간격: 1029.3,  렌더링 객체: 617,  렌더링 fake 객체: 1506
        시간 간격: 1477.7,  렌더링 객체: 617,  렌더링 fake 객체: 1505
        시간 간격: 1016.2,  렌더링 객체: 616,  렌더링 fake 객체: 1503
        시간 간격: 1000.8,  렌더링 객체: 616,  렌더링 fake 객체: 1502
        시간 간격: 1202.7,  렌더링 객체: 616,  렌더링 fake 객체: 1502
